ROAD: 400000, LANES: 3, CARS: 300, MAX_SPEED: 140, MONITOR_PERIOD: 300 
------ t=0 | onScreen=300 
82Z7nc0vkGXQ0LDrPKdg -- X:399883.3888895953, Y:1, V:85, Ahead:1 
aaul1w2apOR0kegvJ80C -- X:296299.00000069157, Y:0, V:93, Ahead:24 
3v9verFZiVSqgvASyQ2g -- X:233733.33333401915, Y:0, V:93, Ahead:39 
Pt5kXUPopbXsxvJLbZzx -- X:256876.38888957756, Y:2, V:93, Ahead:34 
kwUTCDbo84Ah0ovP2UK8 -- X:82486.16666734895, Y:1, V:93, Ahead:65 
Q40R7paOrZfssGSuONo0 -- X:65633.50000068586, Y:0, V:93, Ahead:64 
VdwBIIwq9TnABdyWzkEK -- X:204776.50000068365, Y:2, V:93, Ahead:41 
tjWCW1tT0EtfAZa7nbA2 -- X:34831.44444513004, Y:2, V:93, Ahead:69 
kq2UPzt9akuAEyeLwNMM -- X:175795.94444512512, Y:1, V:93, Ahead:45 
EKyBOoHl3d8Y8yvDevph -- X:42254.50000068342, Y:1, V:93, Ahead:69 
bIT1TbJY6cpt1Eno1vzj -- X:308131.000000677, Y:3, V:83, Ahead:23 
navfUhOx10T6kVoJJEVW -- X:137429.50000068135, Y:2, V:93, Ahead:52 
1vjDEw3aPmKFdXs52lVX -- X:126317.22222290318, Y:2, V:93, Ahead:53 
Za7KT3PGYgxDPauUKpf9 -- X:385053.22222290613, Y:0, V:98, Ahead:10 
6noRymFeMsmQqPyEu1WY -- X:312355.8888895559, Y:0, V:93, Ahead:20 
Zf7bVt9qm8hm9eoWTq4Z -- X:151440.5555562345, Y:1, V:93, Ahead:48 
SVGp3FxfFg8XDrzNJRsv -- X:397207.3333340652, Y:0, V:104, Ahead:2 
ypQDvWhEGK1Pli0Chosb -- X:239450.3888895717, Y:2, V:93, Ahead:38 
q2xGBHpkG7TUVtKNHFXW -- X:341424.5000006785, Y:1, V:93, Ahead:15 
J6EIFj2QRCgNdRVzOpoc -- X:39129.77777845883, Y:3, V:83, Ahead:60 
I0R0gPQAvOAQSIbPJoqM -- X:341783.66666734207, Y:1, V:93, Ahead:16 
TZ8EKTwDnos02lIFVG2A -- X:112303.8888895671, Y:1, V:93, Ahead:60 
d1zhV4vWsBx5py4tVpE2 -- X:236875.94444512622, Y:0, V:93, Ahead:39 
BQ13UjSmeG8QHqE9k7XA -- X:179931.3888895617, Y:0, V:93, Ahead:48 
JGD8TTrd8f3966PoWB2F -- X:157153.0555562278, Y:0, V:93, Ahead:50 
klntIzLKUqaNvIKSyNih -- X:393184.22222289984, Y:0, V:117, Ahead:5 
kUQlgvHenyNIG7hWQYF6 -- X:329939.83333399374, Y:0, V:93, Ahead:17 
XzfHHEz2uiukQqVBTk5K -- X:34678.22222289836, Y:0, V:93, Ahead:70 
As16sAPHTrIXt4eAO6gH -- X:189008.72222289682, Y:0, V:93, Ahead:47 
